Designator,Mid X,Mid Y,Rotation,Layer
C1,153.02,-101.95,180.0,top
C10,150.41,-108.62,90.0,top
C11,150.44,-106.88,270.0,top
C12,150.39,-110.56,270.0,top
C13,154.69,-112.1,90.0,top
C14,165.52,-105.5,0.0,bottom
C15,167.67,-101.14,270.0,bottom
C16,165.64,-104.63,0.0,bottom
C17,157.42,-103.58,0.0,bottom
C18,136.58,-101.74,180.0,top
C19,136.52,-104.9,180.0,top
C2,154.7,-105.97,270.0,top
C20,136.2937,-110.7314,270.0,top
C21,130.6576,-111.8108,270.0,top
C22,148.2317,-100.92,0.0,top
C23,148.26,-100.1,0.0,top
C24,144.18,-111.85,270.0,top
C25,137.06,-108.34,180.0,top
C26,140.5863,-100.1904,180.0,top
C27,137.83,-110.82,270.0,top
C28,148.25,-99.27,0.0,top
C29,145.38,-111.74,270.0,top
C30,146.33,-111.74,270.0,top
C31,147.3,-111.74,270.0,top
C32,149.25,-111.7,270.0,top
C33,148.27,-111.73,270.0,top
C34,137.07,-107.31,180.0,top
C35,131.4931,-101.181,90.0,top
C36,171.72,-105.73,270.0,bottom
C37,165.56,-107.79,0.0,bottom
C38,170.49,-105.39,0.0,bottom
C39,170.3,-104.63,0.0,bottom
C40,167.66,-108.17,90.0,bottom
C41,163.94,-104.79,0.0,bottom
C42,170.02,-101.03,270.0,bottom
C43,170.89,-101.05,270.0,bottom
C44,169.31,-103.11,180.0,bottom
C45,169.51,-102.21,180.0,bottom
C46,164.01,-108.91,0.0,bottom
C47,169.32,-106.65,90.0,bottom
C48,161.57,-103.17,0.0,bottom
C49,169.59,-108.63,0.0,bottom
C50,169.59,-109.31,0.0,bottom
C51,163.95,-105.64,0.0,bottom
C52,165.6,-107.17,0.0,bottom
C53,161.55,-104.01,0.0,bottom
C54,167.09,-103.32,90.0,bottom
C55,164.42,-101.02,270.0,bottom
C56,163.9,-102.13,180.0,bottom
C57,167.91,-103.2,90.0,bottom
C58,170.02,-106.74,90.0,bottom
C59,164.03,-109.72,0.0,bottom
C60,163.31,-99.63,180.0,bottom
C61,163.28,-98.79,180.0,bottom
C62,167.22,-104.64,180.0,bottom
C63,167.24,-105.45,180.0,bottom
C64,162.85,-103.37,90.0,bottom
C65,162.79,-101.95,270.0,bottom
C66,170.64,-99.8,0.0,bottom
C67,170.29,-98.03,0.0,bottom
C68,172.3,-99.81,0.0,bottom
C69,172.16,-99.05,0.0,bottom
C7,166.88,-100.96,270.0,bottom
C8,165.64,-101.41,0.0,bottom
C9,165.55,-102.26,0.0,bottom
CDONE1,161.89,-97.06,180.0,top
CN1,133.9061,-98.2376,0.0,top
CRG1,127.0,-111.252,0.0,top
INIT1,151.0651,-99.68,180.0,top
J1,153.5911,-95.1656,0.0,top
J2,148.5911,-114.9756,0.0,top
J3,125.73,-104.946305,270.0,top
J4,149.07,-104.98,90.0,bottom
L1,164.17,-102.96,180.0,bottom
L10,163.31,-100.62,180.0,bottom
L11,170.69,-98.91,0.0,bottom
L12,172.235,-100.76,0.0,bottom
L2,166.11,-103.34,90.0,bottom
L3,161.23,-98.56,270.0,bottom
L4,164.16,-103.82,0.0,bottom
L5,170.91,-106.725,90.0,bottom
L6,167.65,-106.72,270.0,bottom
L7,165.62,-106.21,0.0,bottom
L8,164.02,-107.95,0.0,bottom
L9,161.59,-102.19,0.0,bottom
LED2,151.053,-98.2,180.0,top
PWR1,127.508,-98.806,180.0,top
R1,128.2927,-96.266,270.0,top
R10,168.82,-101.52,180.0,bottom
R11,148.25,-98.45,180.0,top
R12,168.82,-100.5,180.0,bottom
R13,133.6013,-107.9882,90.0,top
R14,124.46,-111.252,180.0,top
R15,124.714,-99.06,180.0,top
R16,136.56,-105.71,180.0,top
R18,142.93,-111.81,90.0,top
R2,164.49,-97.09,180.0,top
R3,158.38,-112.04,0.0,bottom
R4,155.29,-103.68,270.0,bottom
R5,158.15,-98.17,180.0,top
R6,153.36,-97.68,270.0,top
R7,148.7143,-102.451,90.0,top
R8,131.3688,-108.0008,270.0,top
R9,129.27,-111.62,270.0,top
U$1,140.6371,-98.0314,180.0,top
U$2,133.62,-104.72,180.0,top
U$3,157.705,-108.92,270.0,top
U1,166.430001,-105.02,0.0,top
U2,152.54,-111.32,270.0,top
U3,155.96,-107.97,90.0,bottom
U4,152.54,-107.74,90.0,top
U5,143.1517,-105.4736,0.0,top
U6,145.3615,-98.8188,90.0,top
U7,133.3981,-110.8076,0.0,top
U8,152.54,-104.21,270.0,top
U9,171.301101,-103.035,180.0,bottom
Y1,136.69,-103.32,270.0,top
